station,valid,tmpf,dwpf
RFD,2014-01-01 00:13,8.60,3.20
RFD,2014-01-01 00:54,8.06,5.00
RFD,2014-01-01 01:28,8.60,5.00
RFD,2014-01-01 01:38,8.60,5.00
RFD,2014-01-01 01:52,8.60,3.20
RFD,2014-01-01 01:53,8.96,5.00
RFD,2014-01-01 02:54,8.96,5.00
RFD,2014-01-01 03:54,8.06,3.02
RFD,2014-01-01 04:03,8.60,3.20
RFD,2014-01-01 04:54,8.06,3.02
RFD,2014-01-01 05:15,8.60,1.40
RFD,2014-01-01 05:54,8.06,3.02
RFD,2014-01-01 06:17,8.60,3.20
RFD,2014-01-01 06:54,8.06,1.94
RFD,2014-01-01 07:42,8.60,1.40
RFD,2014-01-01 07:54,8.06,1.94
RFD,2014-01-01 08:18,8.60,1.40
RFD,2014-01-01 08:54,8.06,1.94
RFD,2014-01-01 09:54,8.06,3.02
RFD,2014-01-01 10:41,8.60,3.20
RFD,2014-01-01 10:54,8.06,3.92
RFD,2014-01-01 11:49,6.80,3.20
RFD,2014-01-01 11:54,6.98,3.92
RFD,2014-01-01 12:16,6.80,3.20
RFD,2014-01-01 12:36,6.80,3.20
RFD,2014-01-01 12:54,6.98,3.02
RFD,2014-01-01 13:13,6.80,3.20
RFD,2014-01-01 13:25,8.60,3.20
RFD,2014-01-01 13:54,6.98,3.02
RFD,2014-01-01 14:12,6.80,3.20
RFD,2014-01-01 14:54,6.98,3.02
RFD,2014-01-01 15:54,8.96,5.00
RFD,2014-01-01 16:54,12.02,6.98
RFD,2014-01-01 17:18,12.20,8.60
RFD,2014-01-01 17:39,12.20,8.60
RFD,2014-01-01 17:54,14.00,8.96
RFD,2014-01-01 18:17,12.20,8.60
RFD,2014-01-01 18:37,14.00,10.40
RFD,2014-01-01 18:54,12.92,8.96
RFD,2014-01-01 19:54,14.00,10.04
RFD,2014-01-01 20:11,14.00,10.40
RFD,2014-01-01 20:47,15.80,10.40
RFD,2014-01-01 20:54,15.08,10.94
RFD,2014-01-01 21:54,15.08,12.02
RFD,2014-01-01 22:27,14.00,10.40
RFD,2014-01-01 22:36,14.00,10.40
RFD,2014-01-01 22:54,14.00,8.96
RFD,2014-01-01 23:54,12.02,8.06
RFD,2014-01-02 00:54,10.94,6.08
RFD,2014-01-02 01:54,10.04,3.92
RFD,2014-01-02 02:54,10.04,3.92
RFD,2014-01-02 03:39,10.40,3.20
RFD,2014-01-02 03:54,10.04,3.92
RFD,2014-01-02 04:54,10.04,3.92
RFD,2014-01-02 05:54,10.04,3.02
RFD,2014-01-02 06:54,10.04,3.02
RFD,2014-01-02 07:54,10.04,3.02
RFD,2014-01-02 08:54,10.04,3.02
RFD,2014-01-02 09:54,10.04,3.92
RFD,2014-01-02 10:54,10.04,3.02
RFD,2014-01-02 11:22,10.40,3.20
RFD,2014-01-02 11:54,10.04,3.02
RFD,2014-01-02 12:54,10.04,3.02
RFD,2014-01-02 13:54,8.96,3.92
