station,valid,tmpf,dwpf
RFD,2015-11-01 05:54,46.94,44.06
RFD,2015-11-01 06:54,46.94,44.06
RFD,2015-11-01 07:14,46.94,44.06
RFD,2015-11-01 07:54,46.94,42.98
RFD,2015-11-01 08:54,44.96,42.08
RFD,2015-11-01 09:54,44.96,42.08
RFD,2015-11-01 10:54,44.96,42.08
RFD,2015-11-01 11:54,44.96,41.00
RFD,2015-11-01 12:54,44.96,39.92
RFD,2015-11-01 13:54,46.94,41.00
RFD,2015-11-01 14:54,53.06,41.00
RFD,2015-11-01 15:54,55.94,41.00
RFD,2015-11-01 16:54,59.00,39.92
RFD,2015-11-01 17:54,60.98,39.02
RFD,2015-11-01 18:54,62.96,39.02
RFD,2015-11-01 19:54,64.94,39.02
RFD,2015-11-01 20:54,64.04,39.92
RFD,2015-11-01 21:54,62.96,37.04
RFD,2015-11-01 22:54,55.94,42.08
RFD,2015-11-01 23:54,53.06,42.08
RFD,2015-11-02 00:54,51.08,42.98
RFD,2015-11-02 01:54,50.00,42.98
RFD,2015-11-02 02:54,50.00,44.06
RFD,2015-11-02 03:54,48.92,44.96
RFD,2015-11-02 04:54,48.02,44.06
RFD,2015-11-02 05:54,48.02,44.06
RFD,2015-11-02 06:54,46.94,44.06
RFD,2015-11-02 07:54,46.04,42.08
RFD,2015-11-02 08:54,46.04,42.08
RFD,2015-11-02 09:54,46.04,42.08
RFD,2015-11-02 10:54,44.06,41.00
RFD,2015-11-02 11:54,44.06,41.00
RFD,2015-11-02 12:54,44.96,42.08
RFD,2015-11-02 13:54,48.02,42.98
RFD,2015-11-02 14:54,55.04,46.94
RFD,2015-11-02 15:54,62.06,48.92
RFD,2015-11-02 16:54,66.92,48.02
RFD,2015-11-02 17:54,69.98,48.02
RFD,2015-11-02 18:54,71.06,46.04
RFD,2015-11-02 19:54,71.96,44.06
RFD,2015-11-02 20:54,71.96,42.08
RFD,2015-11-02 21:54,69.98,42.98
RFD,2015-11-02 22:54,62.96,44.96
RFD,2015-11-02 23:54,57.92,44.06
