station,valid,tmpf,dwpf,relh,sped,mslp,vsby
RFD,2015-11-01 05:54,46.94,44.06,89.65,8.0,1008.10,10.00
RFD,2015-11-01 06:54,46.94,44.06,89.65,9.1,1008.10,10.00
RFD,2015-11-01 07:14,46.94,44.06,89.65,8.0,M,10.00
RFD,2015-11-01 07:54,46.94,42.98,86.02,12.5,1008.50,10.00
RFD,2015-11-01 08:54,44.96,42.08,89.56,11.4,1008.80,9.00
RFD,2015-11-01 09:54,44.96,42.08,89.56,10.3,1009.50,10.00
RFD,2015-11-01 10:54,44.96,42.08,89.56,10.3,1010.40,10.00
RFD,2015-11-01 11:54,44.96,41.00,85.90,10.3,1010.80,10.00
RFD,2015-11-01 12:54,44.96,39.92,82.38,9.1,1011.90,10.00
RFD,2015-11-01 13:54,46.94,41.00,79.70,6.8,1012.50,10.00
RFD,2015-11-01 14:54,53.06,41.00,63.47,9.1,1012.80,10.00
RFD,2015-11-01 15:54,55.94,41.00,57.14,8.0,1013.30,10.00
RFD,2015-11-01 16:54,59.00,39.92,49.08,13.7,1013.80,10.00
RFD,2015-11-01 17:54,60.98,39.02,44.16,12.5,1013.80,10.00
RFD,2015-11-01 18:54,62.96,39.02,41.18,8.0,1013.30,10.00
RFD,2015-11-01 19:54,64.94,39.02,38.42,9.1,1013.10,10.00
RFD,2015-11-01 20:54,64.04,39.92,41.06,8.0,1013.10,10.00
RFD,2015-11-01 21:54,62.96,37.04,38.10,M,1013.30,10.00
RFD,2015-11-01 22:54,55.94,42.08,59.58,6.8,1013.60,10.00
RFD,2015-11-01 23:54,53.06,42.08,66.17,5.7,1014.50,10.00
RFD,2015-11-02 00:54,51.08,42.98,73.69,5.7,1015.00,10.00
RFD,2015-11-02 01:54,50.00,42.98,76.71,6.8,1015.10,10.00
RFD,2015-11-02 02:54,50.00,44.06,79.94,4.6,1015.10,10.00
RFD,2015-11-02 03:54,48.92,44.96,86.13,5.7,1014.90,10.00
RFD,2015-11-02 04:54,48.02,44.06,86.08,6.8,1014.40,10.00
RFD,2015-11-02 05:54,48.02,44.06,86.08,6.8,1014.30,10.00
RFD,2015-11-02 06:54,46.94,44.06,89.65,6.8,1014.10,10.00
RFD,2015-11-02 07:54,46.04,42.08,85.97,10.3,1014.20,10.00
RFD,2015-11-02 08:54,46.04,42.08,85.97,9.1,1014.10,10.00
RFD,2015-11-02 09:54,46.04,42.08,85.97,5.7,1014.10,10.00
RFD,2015-11-02 10:54,44.06,41.00,88.90,4.6,1014.70,10.00
RFD,2015-11-02 11:54,44.06,41.00,88.90,6.8,1014.90,10.00
RFD,2015-11-02 12:54,44.96,42.08,89.56,6.8,1015.10,10.00
RFD,2015-11-02 13:54,48.02,42.98,82.59,6.8,1015.40,10.00
RFD,2015-11-02 14:54,55.04,46.94,74.08,11.4,1015.30,10.00
RFD,2015-11-02 15:54,62.06,48.92,62.04,11.4,1014.50,10.00
RFD,2015-11-02 16:54,66.92,48.02,50.62,14.8,1014.30,10.00
RFD,2015-11-02 17:54,69.98,48.02,45.57,16.0,1014.10,10.00
RFD,2015-11-02 18:54,71.06,46.04,40.76,12.5,1013.50,10.00
RFD,2015-11-02 19:54,71.96,44.06,36.67,18.2,1013.40,10.00
RFD,2015-11-02 20:54,71.96,42.08,33.99,14.8,1013.60,10.00
RFD,2015-11-02 21:54,69.98,42.98,37.64,14.8,1013.40,10.00
RFD,2015-11-02 22:54,62.96,44.96,51.77,11.4,1013.80,10.00
RFD,2015-11-02 23:54,57.92,44.06,59.84,11.4,1014.60,10.00
