station,valid,tmpf,dwpf,relh,vsby
RFD,2015-11-02 00:54,51.08,42.98,73.69,10.00
RFD,2015-11-02 01:54,50.00,42.98,76.71,10.00
RFD,2015-11-02 02:54,50.00,44.06,79.94,10.00
RFD,2015-11-02 03:54,48.92,44.96,86.13,10.00
RFD,2015-11-02 04:54,48.02,44.06,86.08,10.00
RFD,2015-11-02 05:54,48.02,44.06,86.08,10.00
RFD,2015-11-02 06:54,46.94,44.06,89.65,10.00
RFD,2015-11-02 07:54,46.04,42.08,85.97,10.00
RFD,2015-11-02 08:54,46.04,42.08,85.97,10.00
RFD,2015-11-02 09:54,46.04,42.08,85.97,10.00
RFD,2015-11-02 10:54,44.06,41.00,88.90,10.00
RFD,2015-11-02 11:54,44.06,41.00,88.90,10.00
RFD,2015-11-02 12:54,44.96,42.08,89.56,10.00
RFD,2015-11-02 13:54,48.02,42.98,82.59,10.00
RFD,2015-11-02 14:54,55.04,46.94,74.08,10.00
RFD,2015-11-02 15:54,62.06,48.92,62.04,10.00
RFD,2015-11-02 16:54,66.92,48.02,50.62,10.00
RFD,2015-11-02 17:54,69.98,48.02,45.57,10.00
RFD,2015-11-02 18:54,71.06,46.04,40.76,10.00
RFD,2015-11-02 19:54,71.96,44.06,36.67,10.00
RFD,2015-11-02 20:54,71.96,42.08,33.99,10.00
RFD,2015-11-02 21:54,69.98,42.98,37.64,10.00
RFD,2015-11-02 22:54,62.96,44.96,51.77,10.00
RFD,2015-11-02 23:54,57.92,44.06,59.84,10.00
RFD,2015-11-03 00:54,57.02,44.06,61.81,10.00
RFD,2015-11-03 01:54,53.96,42.98,66.28,10.00
RFD,2015-11-03 02:54,53.96,42.98,66.28,10.00
RFD,2015-11-03 03:54,51.08,42.98,73.69,10.00
RFD,2015-11-03 04:54,51.08,42.98,73.69,10.00
RFD,2015-11-03 05:54,50.00,42.08,74.10,10.00
RFD,2015-11-03 06:54,48.92,42.08,77.14,10.00
RFD,2015-11-03 07:54,46.94,42.08,83.09,10.00
RFD,2015-11-03 08:54,46.94,41.00,79.70,10.00
RFD,2015-11-03 09:54,46.04,42.98,88.99,10.00
RFD,2015-11-03 10:54,42.98,41.00,92.65,10.00
RFD,2015-11-03 11:54,42.98,42.08,96.60,9.00
RFD,2015-11-03 12:54,42.08,39.92,91.98,8.00
RFD,2015-11-03 13:54,48.02,46.04,92.81,6.00
RFD,2015-11-03 14:54,55.04,51.08,86.47,6.00
RFD,2015-11-03 15:54,59.00,51.98,77.49,9.00
RFD,2015-11-03 16:54,62.06,51.98,69.51,10.00
RFD,2015-11-03 17:54,64.94,51.98,62.83,10.00
RFD,2015-11-03 18:54,68.00,51.98,56.51,10.00
RFD,2015-11-03 19:54,69.08,51.98,54.45,10.00
RFD,2015-11-03 20:54,66.92,53.06,61.03,10.00
RFD,2015-11-03 21:54,62.96,53.96,72.42,10.00
RFD,2015-11-03 22:54,55.94,53.06,90.03,7.00
RFD,2015-11-03 23:54,53.06,51.08,92.96,7.00
